"ID_ADRESU"|"MIASTO"|"ULICA"|"KOD_POCZTOWY"|"NR_BUDYNKU"|"NR_LOKALU"
1|"Rancho Cucamonga"|"286-8145 Sem Road"|"37-674"|"MA"|"53"
2|"Oro Valley"|"P.O. Box 461, 286 Eu Street"|"53-920"|"VT"|"71"
3|"Wausau"|"8376 Sapien Street"|"61-297"|"OR"|"59"
4|"International Falls"|"P.O. Box 722, 3750 Nunc St."|"14-809"|"MD"|"13"
5|"Warwick"|"633-1852 Est. Avenue"|"70-150"|"CT"|"89"
6|"Connellsville"|"384-7398 Amet, St."|"73-375"|"AK"|"3"
7|"Tuscaloosa"|"6908 Lorem Avenue"|"23-199"|"MN"|"37"
8|"Columbus"|"Ap #381-1809 Faucibus Road"|"38-150"|"NC"|"11"
9|"Valdez"|"Ap #298-2962 Eget, St."|"72-619"|"MI"|"71"
10|"Omaha"|"P.O. Box 434, 2813 Dui. Rd."|"13-880"|"ME"|"29"
11|"Farrell"|"Ap #703-1160 Libero. Avenue"|"96-457"|"HI"|"61"
12|"Layton"|"Ap #893-3099 Iaculis St."|"46-125"|"PA"|"83"
13|"Meriden"|"913-1628 Mauris. Street"|"34-670"|"DC"|"17"
14|"Moraga"|"Ap #350-8876 Nisl Avenue"|"57-773"|"IA"|"67"
15|"Visalia"|"P.O. Box 154, 8504 Nulla. Avenue"|"27-482"|"SC"|"13"
16|"Natchitoches"|"220-4920 Mi Ave"|"27-463"|"OK"|"83"
17|"Niagara Falls"|"388-5834 Augue St."|"87-728"|"NV"|"7"
18|"Dixon"|"9054 Neque. St."|"45-567"|"CA"|"61"
19|"Myrtle Beach"|"Ap #552-4901 Euismod Av."|"91-415"|"HI"|"23"
20|"Tacoma"|"P.O. Box 153, 6503 Etiam Rd."|"95-940"|"NC"|"53"
21|"Portsmouth"|"300-6703 Eget Rd."|"80-430"|"HI"|"19"
22|"Bethany"|"539-8610 Lectus Road"|"60-195"|"VT"|"67"
23|"Hot Springs"|"999-8971 Mauris Rd."|"51-210"|"HI"|"89"
24|"Berlin"|"510-5302 Amet, Street"|"10-235"|"MS"|"79"
25|"Glendora"|"5957 Ac St."|"26-483"|"SC"|"31"
26|"Orangeburg"|"438-3259 Dictum. St."|"56-178"|"WI"|"2"
27|"Azusa"|"P.O. Box 640, 977 Curae; St."|"69-489"|"KS"|"59"
28|"Charleston"|"383-9652 Elit St."|"74-843"|"NM"|"7"
29|"Council Bluffs"|"4825 Quisque Avenue"|"29-442"|"LA"|"61"
30|"Murfreesboro"|"4594 Augue Avenue"|"75-231"|"WV"|"17"
31|"Fallon"|"P.O. Box 201, 2797 Mattis Road"|"81-199"|"KS"|"17"
32|"Ardmore"|"326-3916 Maecenas Ave"|"76-330"|"WA"|"71"
33|"Cape Girardeau"|"P.O. Box 923, 5029 Nisi. Avenue"|"20-302"|"CO"|"83"
34|"Gadsden"|"645-1546 A St."|"66-432"|"NY"|"37"
35|"Marquette"|"P.O. Box 348, 5622 Auctor Avenue"|"72-672"|"LA"|"31"
36|"Tampa"|"P.O. Box 246, 2877 Non St."|"88-437"|"MI"|"5"
37|"Bell Gardens"|"Ap #109-4396 Mi St."|"88-884"|"ID"|"5"
38|"Aguadilla"|"P.O. Box 457, 8417 Vestibulum Avenue"|"74-614"|"SC"|"7"
39|"Winston-Salem"|"1589 Diam St."|"70-691"|"CT"|"23"
40|"Woonsocket"|"P.O. Box 850, 6106 Orci Av."|"95-513"|"NY"|"79"
41|"Shawnee"|"155-5834 Id, Street"|"34-192"|"CT"|"19"
42|"Bowling Green"|"P.O. Box 881, 5639 Mollis Rd."|"39-140"|"SD"|"31"
43|"Nanticoke"|"474-1298 Litora Av."|"87-357"|"OK"|"59"
44|"Saukville"|"Ap #189-2511 Tincidunt Street"|"86-328"|"MI"|"47"
45|"Santa Clarita"|"P.O. Box 664, 3830 Blandit Road"|"23-344"|"AZ"|"97"
46|"Arcadia"|"P.O. Box 875, 2954 Diam Rd."|"53-656"|"MD"|"71"
47|"Alamogordo"|"273-3508 A, Avenue"|"64-266"|"MD"|"71"
48|"Moultrie"|"1979 Ipsum Avenue"|"25-394"|"SD"|"17"
49|"Monongahela"|"583-4276 Condimentum Ave"|"75-573"|"FL"|"89"
50|"Lynwood"|"Ap #886-8118 Est Road"|"19-538"|"CA"|"2"
51|"Douglas"|"894-3893 Magnis Rd."|"24-285"|"MT"|"79"
52|"Nampa"|"P.O. Box 969, 464 At, Ave"|"99-254"|"NC"|"73"
53|"Grand Forks"|"496 Ut, Avenue"|"26-183"|"IA"|"17"
54|"Jonesboro"|"Ap #842-3444 Ridiculus Rd."|"66-587"|"ID"|"5"
55|"Easton"|"897-1390 Donec Road"|"70-232"|"GA"|"1"
56|"Pasco"|"1784 Molestie. St."|"74-145"|"IA"|"19"
57|"Miami Gardens"|"2800 Ut, Street"|"82-399"|"AL"|"5"
58|"Vernon"|"6604 Eros. Ave"|"61-142"|"DC"|"23"
59|"Covina"|"377-467 Lacus. Rd."|"15-949"|"MT"|"11"
60|"Ogdensburg"|"P.O. Box 646, 9334 Mi Street"|"46-412"|"CO"|"29"
61|"Ansonia"|"P.O. Box 933, 1395 Libero. St."|"35-196"|"AK"|"1"
62|"Norfolk"|"Ap #948-3733 Libero. St."|"94-994"|"MN"|"41"
63|"Branson"|"Ap #185-1078 Purus Avenue"|"94-600"|"NH"|"31"
64|"Columbus"|"2074 Quis, Avenue"|"56-952"|"ME"|"71"
65|"Provo"|"P.O. Box 275, 794 Nulla St."|"54-886"|"SD"|"29"
66|"Cody"|"3870 Sed, Street"|"45-731"|"ND"|"7"
67|"Glen Cove"|"P.O. Box 228, 5080 Nisl Rd."|"77-693"|"WV"|"83"
68|"El Cerrito"|"P.O. Box 758, 4843 Mollis. Rd."|"33-653"|"OH"|"47"
69|"Bayamon"|"4956 Ornare Rd."|"66-199"|"ME"|"37"
70|"Statesboro"|"366-7877 Id Rd."|"31-703"|"RI"|"97"
71|"Lebanon"|"686-4290 Egestas Av."|"23-555"|"ND"|"41"
72|"Haverhill"|"P.O. Box 785, 6253 Quis, Av."|"71-670"|"ND"|"59"
73|"Jordan Valley"|"P.O. Box 748, 5957 Mollis St."|"37-690"|"MT"|"13"
74|"Las Cruces"|"P.O. Box 389, 6500 Elit, Rd."|"15-900"|"MI"|"2"
75|"Youngstown"|"510-7207 Sed Rd."|"63-185"|"NH"|"61"
76|"Annapolis"|"Ap #842-5467 Urna Rd."|"87-212"|"AL"|"19"
77|"Tupelo"|"7443 Duis Street"|"15-693"|"MO"|"53"
78|"Boulder City"|"Ap #111-7544 Nec Rd."|"47-763"|"AK"|"47"
79|"Nashville"|"Ap #463-4722 Lectus. Rd."|"40-858"|"AK"|"3"
80|"Fairfax"|"230-5069 Vitae, Avenue"|"96-685"|"UT"|"59"
81|"Loudon"|"916-6288 Egestas Ave"|"19-460"|"LA"|"23"
82|"Kansas City"|"5967 In, Avenue"|"16-479"|"AZ"|"23"
83|"Rancho Palos Verdes"|"6967 Donec Avenue"|"17-370"|"WY"|"3"
84|"Rosemead"|"3107 Risus. Ave"|"74-924"|"WA"|"11"
85|"Williamsport"|"1435 Odio Ave"|"58-158"|"NV"|"31"
86|"Gainesville"|"4409 Mi Road"|"39-616"|"NV"|"53"
87|"Oil City"|"P.O. Box 156, 2896 Dictum Road"|"49-347"|"AL"|"2"
88|"Marlborough"|"Ap #353-8068 Rutrum, Rd."|"12-876"|"IL"|"29"
89|"Ventura"|"P.O. Box 608, 560 Sit Road"|"77-706"|"GA"|"37"
90|"Montgomery"|"9667 Consectetuer Ave"|"80-114"|"OH"|"13"
91|"Shreveport"|"Ap #587-2411 Quisque St."|"53-977"|"SC"|"47"
92|"White Plains"|"2319 Lectus Road"|"38-589"|"AZ"|"43"
93|"Hermitage"|"203-4953 Fames St."|"25-650"|"NE"|"41"
94|"Agawam"|"Ap #502-9810 Enim. Road"|"83-779"|"AL"|"67"
95|"Syracuse"|"5721 Scelerisque Street"|"63-589"|"SC"|"23"
96|"Fresno"|"P.O. Box 370, 4159 Id Av."|"84-211"|"TN"|"73"
97|"Reedsport"|"Ap #605-3512 In Rd."|"28-506"|"NJ"|"59"
98|"Moline"|"P.O. Box 156, 485 Tempus, Av."|"16-455"|"KY"|"43"
99|"Bangor"|"427-7041 Vestibulum Street"|"14-738"|"MD"|"31"
100|"Tulsa"|"176-7425 Pede. Road"|"51-400"|"RI"|"2"
