"ID_STANOWISKA"|"NAZWA"|"PENSJA"|"PREMIA"|"SPECJALIZACJA"
1|"ultricies sem"|13491|341|"vitae dolor. Donec"
2|"odio sagittis semper."|13692|1249|"metus"
3|"magnis"|13436|4186|"gravida mauris ut"
4|"Suspendisse"|13918|765|"Nunc commodo"
5|"Donec tincidunt."|11666|1557|"Sed eu"
6|"nunc"|12366|4988|"magna."
7|"neque"|11490|260|"libero."
8|"varius."|10594|254|"aliquam,"
9|"porttitor interdum. Sed"|4103|4493|"ante bibendum"
10|"mollis. Duis"|6897|1698|"lacus. Cras"
11|"non, lacinia"|3127|1240|"augue id"
12|"dui, nec tempus"|2834|2700|"aliquam arcu. Aliquam"
13|"vulputate, nisi"|8384|831|"ridiculus mus. Donec"
14|"libero. Morbi"|4290|3664|"orci. Ut semper"
15|"nisi. Mauris"|14296|3470|"accumsan convallis, ante"
16|"Proin eget"|3817|3379|"Curae;"
17|"diam dictum sapien."|8615|4315|"pellentesque eget,"
18|"id, mollis nec,"|4496|2140|"malesuada"
19|"erat"|14538|1271|"nec tempus"
20|"mi, ac mattis"|4137|4397|"elit elit"
21|"luctus et"|14005|2281|"lorem, luctus ut,"
22|"et"|7336|3326|"erat semper"
23|"vel nisl. Quisque"|4789|460|"faucibus ut, nulla."
24|"purus"|6583|603|"tortor"
25|"est, congue a,"|13064|4813|"interdum."
26|"Nulla dignissim. Maecenas"|11070|3502|"non magna. Nam"
27|"Morbi neque tellus,"|6375|1730|"lacus, varius"
28|"eu nibh"|7761|2750|"vitae, sodales"
29|"ac orci. Ut"|7072|1646|"ac facilisis facilisis,"
30|"vel,"|12138|489|"nunc. In"
31|"lobortis quam"|4986|1145|"tortor."
32|"vestibulum nec, euismod"|14807|565|"Duis"
33|"lacus. Etiam bibendum"|4413|2042|"Curae;"
34|"enim consequat purus."|8050|629|"posuere cubilia"
35|"dignissim magna a"|13254|2398|"faucibus ut, nulla."
36|"lobortis."|12593|2425|"fames ac"
37|"in faucibus"|12937|2376|"Aenean"
38|"imperdiet"|12402|1227|"leo. Morbi"
39|"feugiat placerat velit."|4392|2052|"ante bibendum"
40|"nulla at"|6289|2484|"sed, sapien."
41|"libero lacus, varius"|6339|3705|"sagittis. Nullam"
42|"Sed pharetra,"|14815|2192|"Aliquam"
43|"lacinia vitae,"|9543|1833|"neque. Sed"
44|"rutrum"|10023|2419|"a neque. Nullam"
45|"amet,"|5501|1988|"egestas. Aliquam fringilla"
46|"nunc id"|11843|3640|"nec enim."
47|"nec urna"|14056|2404|"Aliquam adipiscing"
48|"malesuada ut, sem."|9363|1677|"nunc est,"
49|"tempor erat"|10156|782|"sed"
50|"Maecenas"|2698|2251|"elit. Aliquam auctor,"
51|"consequat"|13751|328|"ultricies ligula. Nullam"
52|"quam"|11984|443|"malesuada fringilla est."
53|"dignissim"|9739|4025|"nec enim. Nunc"
54|"aliquet. Proin velit."|14288|2650|"Cras lorem"
55|"Morbi"|10372|289|"dignissim."
56|"dolor"|9373|4566|"sed dictum"
57|"porttitor tellus"|12374|1176|"justo sit"
58|"facilisis. Suspendisse"|4716|1018|"sapien. Nunc pulvinar"
59|"tellus"|8051|1224|"fermentum"
60|"non arcu."|10874|619|"nonummy"
61|"Donec feugiat"|5379|259|"amet"
62|"Ut sagittis"|5613|1307|"et, eros. Proin"
63|"Donec egestas. Duis"|11802|232|"Cras vehicula"
64|"tincidunt"|14847|2553|"magna a neque."
65|"Mauris eu"|4659|748|"ac arcu."
66|"dolor, nonummy ac,"|7595|888|"consequat enim diam"
67|"tincidunt, neque vitae"|13949|471|"suscipit, est"
68|"dui. Fusce aliquam,"|13464|3394|"Cum sociis"
69|"Quisque"|3143|523|"nec,"
70|"convallis"|7182|1663|"et malesuada"
71|"luctus felis"|12477|4938|"eget ipsum."
72|"porttitor interdum."|4547|1821|"et tristique"
73|"risus varius orci,"|5792|4099|"Curae;"
74|"cursus."|5802|1066|"vehicula."
75|"velit."|11743|2727|"condimentum eget, volutpat"
76|"Morbi vehicula."|12661|1030|"tellus"
77|"ridiculus mus. Donec"|13823|610|"aliquet"
78|"euismod ac, fermentum"|13122|833|"nonummy ac, feugiat"
79|"semper erat, in"|4161|789|"nulla."
80|"consequat nec,"|11979|845|"adipiscing non, luctus"
81|"sem ut"|11519|1450|"imperdiet"
82|"velit. Cras lorem"|10817|3161|"Donec"
83|"in,"|10537|4427|"sem eget"
84|"In mi pede,"|6500|4779|"Nulla"
85|"at"|10580|593|"sed leo. Cras"
86|"lectus pede,"|9528|1385|"tincidunt nibh."
87|"ac"|4143|4469|"a purus. Duis"
88|"mi, ac"|10834|1221|"adipiscing elit. Curabitur"
89|"tempus non,"|5163|4695|"vulputate mauris"
90|"tortor at"|5779|4907|"odio. Aliquam vulputate"
91|"Quisque fringilla"|7820|4771|"dolor sit amet,"
92|"libero dui nec"|5914|4779|"sem molestie sodales."
93|"convallis, ante"|3732|559|"Curabitur consequat, lectus"
94|"amet"|9253|1566|"Vivamus"
95|"eros non enim"|3134|555|"egestas a,"
96|"non"|9632|3124|"consectetuer rhoncus. Nullam"
97|"arcu. Vestibulum"|6811|4350|"orci luctus et"
98|"In"|11154|772|"Sed"
99|"sem,"|10783|2867|"varius et,"
100|"lacinia vitae, sodales"|8318|3684|"et arcu"
